Sl No,SPIN ID,Item Name,L1,IM Images,UOM,Instamart URL
560,P1RC9DFF0B,Plan B Basics 3-pack Padded Camisoles - PVG-Basics - 12-14 years,Clothing,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/10/26/a3375222-12f4-44cd-8426-066031a2a987_966402_1.png,3pieces,https://www.swiggy.com/stores/instamart/p/P1RC9DFF0B?custom_back=true
561,H2JJGHUYG6,"Furnofy 140 Gsm Premium Double Bedsheet (90x100 Inches) with 2 Pillow Covers - Flat, Multicolor - Geometric",Home,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2025/1/2/b9913733-0f97-4573-8d66-e9a90896b836_435721_1.png,1pack,https://www.swiggy.com/stores/instamart/p/H2JJGHUYG6?custom_back=true
562,IINJCQJX5U,Celio Burgundy Solid Formal Shirt - XL,Clothing,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/10/24/23001fd8-d393-4879-bc1b-b0ed4380315d_843395_1.png,1XL,https://www.swiggy.com/stores/instamart/p/IINJCQJX5U?custom_back=true
563,FOS5PQIO81,Plan B Starry 3-Pack Training Bras - TBS-Starry - 10-12 years,Clothing,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/10/26/be486dd4-a02b-4195-93d8-646f333542e0_254445_1.png,3pieces,https://www.swiggy.com/stores/instamart/p/FOS5PQIO81?custom_back=true
564,RASI999I2J,Celio Blue Striped Regular Fit Cotton Linen Shirt - L,Clothing,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/10/26/ddbc5057-3a2e-440a-8022-a6714f7c6cc2_963115_1.png,1Piece,https://www.swiggy.com/stores/instamart/p/RASI999I2J?custom_back=true
565,37DJ0I4URX,Plan B Starry 3-Pack Training Bras - TBS-Starry - 8-10 years,Clothing,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/10/26/be486dd4-a02b-4195-93d8-646f333542e0_254445_1.png,3pieces,https://www.swiggy.com/stores/instamart/p/37DJ0I4URX?custom_back=true
566,2LJCLMLQAH,Plan B Basics 3-pack Padded Camisoles - PVG-Basics - 8-10 years,Clothing,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/10/26/a3375222-12f4-44cd-8426-066031a2a987_966402_1.png,3pieces,https://www.swiggy.com/stores/instamart/p/2LJCLMLQAH?custom_back=true
567,6HLT4D7JPB,Celio Green Solid Regular Fit Cotton Basic Polo T-shirt - L,Clothing,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/10/26/f52b6fdf-a429-44d5-a9f8-f9ac3015e0d5_215764_1.png,1L,https://www.swiggy.com/stores/instamart/p/6HLT4D7JPB?custom_back=true
568,INS0LZVXX3,Celio Purple Solid Regular Fit Cotton Linen Shirts - XL,Clothing,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/10/26/be0169f6-db6e-4afe-8c33-d9b09dd3e4c4_297666_1.png,1XL,https://www.swiggy.com/stores/instamart/p/INS0LZVXX3?custom_back=true
569,FQQ77VC4WC,Celio Blue Striped Regular Fit Cotton Linen Shirt - XXL,Clothing,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/10/26/ddbc5057-3a2e-440a-8022-a6714f7c6cc2_963115_1.png,1XXL,https://www.swiggy.com/stores/instamart/p/FQQ77VC4WC?custom_back=true
570,B8I0XLHY13,Celio Burgundy Solid Formal Shirt - M,Clothing,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/10/24/23001fd8-d393-4879-bc1b-b0ed4380315d_843395_1.png,1Piece,https://www.swiggy.com/stores/instamart/p/B8I0XLHY13?custom_back=true
